timestamp_ms,S0_uW,S1,S2,S3,DOP
0,225.4767,138.0701,-111.2727,123.0313,0.9811
100,221.9083,138.6520,-112.9729,123.7163,0.9803
201,225.5208,138.7431,-112.6634,123.8820,0.9597
301,225.3403,138.8833,-112.6560,123.1385,0.9781
401,225.0912,138.6036,-112.6909,123.8952,0.9726
501,223.1124,138.6283,-112.9305,123.9283,0.9803
601,225.4673,138.6407,-112.2092,123.8699,0.9742
702,224.2364,137.2586,-112.2285,123.8413,0.9805
803,222.0320,137.4792,-112.3725,123.6593,0.9801
903,224.4881,137.3280,-112.4230,123.7263,0.9762
1003,220.3956,138.7844,-112.9406,123.9914,0.9613
1103,222.1647,137.3797,-112.7005,123.7720,0.9812
1203,221.3562,138.7396,-112.9003,123.8431,0.9755
1303,224.6153,138.6789,-112.0306,123.7766,0.9669
1403,224.3613,138.7118,-112.7249,123.8737,0.9706
1503,222.4333,138.7484,-112.0832,123.7199,0.9792
1603,224.1510,137.4160,-112.9848,123.6153,0.9599
1703,224.6393,137.3241,-112.4731,123.5483,0.9670
1803,221.3800,137.3044,-113.5097,123.6550,0.9671
1903,224.1521,138.5612,-112.4582,123.8526,0.9761
2003,223.9989,138.5301,-112.3484,123.7786,0.9701
2104,224.8059,137.1180,-112.0909,122.3118,0.9777
2204,224.1164,137.1076,-112.4619,122.3301,0.9627
2304,224.4863,137.9066,-112.3873,123.8346,0.9712
2404,223.6851,137.3341,-112.3826,123.6544,0.9798
2504,222.8614,137.8860,-113.5382,123.8065,0.9684
2605,222.9839,137.8376,-112.3066,123.7789,0.9691
2706,221.8827,137.1304,-113.5306,123.7009,0.9638
2806,222.1181,137.2144,-113.8481,123.9443,0.9674
2906,222.6651,137.8216,-113.8184,123.8214,0.9721
3006,222.2518,137.1968,-113.9296,123.5060,0.9809
3107,221.4242,137.0496,-113.7782,123.8577,0.9769
3208,221.5220,137.0408,-113.7414,123.6145,0.9736
3309,223.4765,137.2066,-112.4569,123.7155,0.9757
3410,223.0076,137.1561,-112.4803,123.6842,0.9790
3510,221.0972,137.1347,-113.7604,123.5141,0.9680
3611,221.0450,137.1093,-113.6964,122.4127,0.9674
3711,222.7279,137.7087,-113.7916,123.7014,0.9689
3812,224.0285,137.0763,-113.6303,123.6328,0.9789
3913,224.8066,137.9850,-113.8567,122.4981,0.9797
4014,224.4564,137.0510,-113.6839,122.4545,0.9674
4114,221.6001,137.8431,-113.7561,123.6783,0.9768
4215,221.6982,137.9036,-113.7257,123.6665,0.9802
4316,223.0888,137.5906,-113.8534,123.7832,0.9727
4417,225.0003,137.8749,-113.5815,123.6302,0.9780
4517,224.2505,137.1047,-113.8974,123.7598,0.9731
4618,223.5437,137.9200,-113.8116,123.9109,0.9737
4719,222.9526,137.8761,-113.9055,123.7236,0.9651
4819,222.6107,137.9305,-113.6869,123.6346,0.9754
4920,222.7711,137.8797,-113.8276,123.6707,0.9676
5020,223.7333,137.8212,-113.9199,123.6859,0.9736
5120,224.2029,137.9723,-113.6331,123.6000,0.9811
5221,224.1384,137.8015,-113.6169,123.7921,0.9653
5322,224.3757,137.8872,-113.7179,123.6730,0.9694
5422,223.2998,137.8422,-112.4150,123.7119,0.9699
5522,222.4473,137.0332,-113.7297,123.7165,0.9665
5622,221.2621,137.7732,-112.4450,123.7448,0.9665
5722,221.3365,137.7869,-113.8861,122.4470,0.9676
5822,224.0272,137.9362,-112.4705,123.5910,0.9677
5923,222.4992,137.6772,-113.6812,123.6861,0.9701
6023,224.5903,137.6371,-112.4849,123.0681,0.9736
6123,222.4797,137.6133,-113.6783,122.4962,0.9778
6223,221.3716,137.8796,-113.7516,123.6553,0.9695
6323,221.7952,137.7018,-113.9903,123.6540,0.9656
6424,222.4965,137.8177,-113.7999,123.7592,0.9677
6524,223.9671,137.6520,-112.4393,123.1422,0.9729
6624,222.2112,137.0442,-113.0953,123.7820,0.9742
6724,223.7634,137.8585,-113.8289,123.5110,0.9647
6824,223.2149,137.8816,-113.3489,123.5896,0.9685
6924,222.2844,136.3496,-113.7596,123.0000,0.9684
7024,223.0171,139.1569,-110.6547,123.5048,0.9684
7124,223.6201,120.6178,-113.3882,139.0903,0.9674
7224,223.7931,76.7927,-97.5202,176.9151,0.9626
7324,222.4964,48.3154,-98.9464,185.1207,0.9699
7424,222.8921,30.8939,-107.7711,186.5302,0.9810
7524,222.0287,-1.6201,-106.9461,189.2705,0.9816
7624,223.2085,-9.1792,-101.3555,192.6062,0.9780
7724,222.5871,-11.9881,-100.6037,192.2430,0.9799
7824,222.3983,-7.2453,-98.9856,193.8492,0.9749
7925,223.9903,-9.0291,-100.1197,192.3334,0.9735
8025,222.6246,-13.8454,-92.2890,195.1024,0.9763
8125,222.9052,-7.8428,-97.0104,194.6595,0.9750
8225,222.4761,-7.2171,-95.9496,195.5773,0.9740
8325,222.3412,0.7819,-96.2057,194.8786,0.9762
8425,223.1134,52.0784,-82.8901,191.6808,0.9648
8525,222.3151,74.9099,-74.7051,186.4478,0.9643
8625,222.6988,78.0732,-85.2444,180.2696,0.9632
8725,223.0758,83.4847,-78.1948,180.3515,0.9602
8825,222.8627,98.2524,-84.7270,171.5498,0.9622
8925,222.4739,104.7366,-87.5012,166.8465,0.9649
9025,222.5887,103.9489,-101.4833,159.8383,0.9676
9125,223.1505,126.1236,-70.4947,157.8700,0.9600
9226,222.2754,139.8291,-46.9221,155.8478,0.9620
9326,221.9389,142.9232,-64.6070,146.7950,0.9585
9426,223.3077,142.0261,-70.4975,143.9193,0.9568
9526,222.8452,142.2732,-77.7237,140.0859,0.9643
9626,222.9091,142.1451,-76.2147,140.2613,0.9643
9726,222.8809,142.9466,-76.4917,140.1744,0.9631
9826,222.5627,142.3603,-76.2061,140.2500,0.9622
9926,222.7557,141.9236,-79.4019,140.1155,0.9660
10027,223.2886,133.1433,-92.6782,141.1531,0.9681
10127,223.0552,122.9431,-92.7984,150.0839,0.9651
10228,222.9097,103.6744,-100.9501,160.9406,0.9653
10329,223.5339,75.2602,-131.6476,155.4260,0.9750
10430,222.7367,-23.7166,-123.6758,180.8471,0.9854
10530,221.9964,-62.2036,-24.5506,206.1442,0.9780
10630,221.5836,-60.5362,-14.3638,207.0267,0.9776
10730,221.3970,-60.9194,-7.2020,208.8073,0.9762
10831,222.5394,-62.9887,-6.1169,207.2418,0.9760
10931,221.3567,-63.2992,-0.5658,207.1098,0.9786
11031,222.2130,-65.5975,-15.9607,206.1716,0.9758
11132,222.2502,-66.8270,-44.2647,202.3887,0.9790
11232,221.8088,-48.2853,-96.0295,190.9200,0.9848
11332,223.5115,68.8573,-165.1526,128.3357,0.9915
11433,223.6551,115.3337,-145.3438,114.5294,0.9792
11533,222.5570,103.1286,-164.3799,103.7012,0.9883
11633,222.5682,119.4025,-133.1001,123.3278,0.9807
11733,222.3221,118.0982,-139.5643,119.0693,0.9726
11834,223.4863,115.0233,-144.9253,117.6128,0.9792
11935,223.2759,116.4257,-142.9618,117.2284,0.9773
12035,223.6008,116.2004,-142.4976,117.0014,0.9791
12136,223.6701,116.4581,-143.7709,117.8068,0.9786
12236,223.5853,117.5168,-143.5605,117.1324,0.9779
12337,223.7733,116.0844,-142.4755,117.0069,0.9798
12437,223.3775,116.4385,-143.5072,117.0067,0.9797
12538,223.3620,116.1941,-142.3006,117.7015,0.9797
12638,223.6908,116.1238,-142.2511,117.0868,0.9807
12739,223.5048,116.4067,-142.2309,117.3316,0.9782
12840,223.6593,117.6987,-142.1489,117.3879,0.9803
12941,223.6064,116.4297,-142.2066,117.0091,0.9763
13041,223.3470,117.6113,-142.1754,117.1658,0.9785
13141,223.1507,117.5688,-142.3015,117.0860,0.9790
13241,223.7259,117.7377,-142.2087,117.0262,0.9778
13341,223.7606,116.4245,-142.0868,117.9560,0.9794
13441,223.4351,117.6781,-142.2938,117.2674,0.9783
13541,223.3928,117.6325,-142.9085,117.3141,0.9791
13641,223.3789,117.5491,-142.8730,117.3385,0.9767
13741,223.2753,117.5358,-142.8642,117.0786,0.9795
13842,223.0395,117.7164,-139.8510,120.1659,0.9820
13942,223.2758,117.9102,-138.2007,121.6288,0.9822
14042,223.0251,117.8110,-139.1062,120.7267,0.9800
14142,223.3432,117.9847,-140.2701,119.5858,0.9803
14242,223.1154,117.8100,-138.7906,121.7666,0.9797
14342,222.4251,117.1325,-139.0675,120.7668,0.9803
14442,222.5549,117.9108,-139.2594,119.3568,0.9816
14542,223.0625,117.4491,-139.3247,119.4973,0.9816
14643,223.5848,117.9588,-136.3814,122.9472,0.9765
14743,223.1305,117.1680,-136.3251,123.5147,0.9778
14843,222.6579,117.9510,-136.4433,122.3623,0.9769
14943,223.1997,117.8540,-136.0822,122.3583,0.9783
15043,223.0012,117.8719,-136.2464,122.4294,0.9753
15143,223.4350,117.9828,-136.9641,123.7153,0.9762
15243,222.9996,117.9643,-136.1386,122.4492,0.9769
15343,223.3756,117.9559,-136.1911,123.6202,0.9752
15443,222.8375,117.8232,-136.8844,123.5676,0.9800
15543,223.3226,117.0886,-136.1574,123.9100,0.9788
15643,223.4273,117.8050,-137.5942,122.1164,0.9795
15743,222.2383,117.4865,-137.3625,121.5374,0.9798
15843,222.8269,117.3493,-138.4299,120.9377,0.9792
15943,222.8401,118.5121,-139.6391,120.6159,0.9787
16043,222.6029,118.7487,-139.7268,120.6554,0.9809
16143,222.7968,117.3803,-138.4966,120.7631,0.9791
16243,222.9180,118.8152,-139.5983,120.6176,0.9796
16343,222.4875,118.6029,-138.4064,120.6032,0.9796
16443,222.0241,117.3604,-139.6213,120.7447,0.9836
16544,223.8194,117.4172,-139.5239,120.8364,0.9794
16644,222.9314,117.4578,-139.5443,120.5730,0.9796
16745,222.3165,117.4124,-139.6956,120.6348,0.9794
16845,222.4091,117.4532,-138.3731,120.6722,0.9817
16945,222.6956,118.5120,-138.2097,120.6442,0.9805
17045,222.4630,117.3306,-138.3922,120.8062,0.9804
17145,222.5614,118.6037,-138.3462,119.4841,0.9801
17245,222.5922,117.3542,-139.6459,120.6164,0.9783
17345,222.8870,117.3201,-138.4000,119.3920,0.9800
17445,222.6500,117.1398,-138.2818,119.2185,0.9811
17545,221.9699,117.4097,-139.5771,120.6174,0.9794
17645,222.4083,117.3556,-138.1322,120.7425,0.9806
17745,223.6595,117.1296,-138.4679,119.2417,0.9797
17845,222.5095,117.3173,-138.3522,120.6783,0.9786
17946,222.7896,118.6300,-138.4845,120.6907,0.9807
18046,222.7681,118.6100,-138.3944,120.5450,0.9770
18146,223.0189,117.1993,-138.4486,120.6080,0.9820
18246,222.6237,117.1827,-139.5353,120.5118,0.9794
18346,222.1393,117.1910,-138.4000,120.6638,0.9808
18446,223.1568,117.3417,-139.6176,119.2954,0.9818
18546,222.9666,117.1994,-139.6884,120.6616,0.9781
18646,222.4893,117.0844,-139.8262,120.6591,0.9798
18746,222.6525,117.1538,-139.7478,120.5526,0.9797
18846,222.6069,117.2067,-139.6726,119.4220,0.9793
18946,222.7657,117.3138,-139.7322,120.6971,0.9792
19046,222.6001,117.1563,-138.4789,120.5733,0.9819
19146,222.6388,117.2789,-138.4699,120.5464,0.9782
19246,222.6624,117.0869,-139.5148,120.5316,0.9786
19346,222.6810,117.0652,-139.6888,120.5582,0.9797
19446,223.0349,117.1443,-139.6897,119.0846,0.9816
19546,222.6042,118.5461,-139.8658,119.3909,0.9818
19646,222.5374,117.2963,-139.7436,119.2717,0.9771
19746,222.4239,117.2887,-139.7085,119.4970,0.9796
19846,222.7511,118.6745,-139.9572,119.2376,0.9796
19946,222.6628,117.2254,-139.6819,119.8000,0.9798
